Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	14504.6	0.6	15689.5	1.6	1184.88
1.5	14504.7	1.6	15689.5	2.6	1184.75
2.5	14504.5	2.6	15689.3	3.6	1185.02
3.5	14504.7	3.6	15689.6	4.6	1184.97
4.5	14504.5	4.6	15689.6	5.6	1184.9
5.5	14504.6	5.6	15689.5	6.6	1184.73
6.5	14504.5	6.6	15689.3	7.6	1185.17
7.5	14504.3	7.6	15689.6	8.6	1185.31
8.5	14504.4	8.6	15689.6	9.6	1185.33
9.5	14504.1	9.6	15689.6	10.6	1185.29
10.5	14504.3	10.6	15689.5	11.6	1185.22
11.5	14504.5	11.6	15689.6	12.6	1184.97
12.5	14504.3	12.6	15689.3	13.6	1185.49
13.5	14504.3	13.6	15689.8	14.6	1185.48
14.5	14504.1	14.6	15689.6	15.6	1185.08
15.5	14504.2	15.6	15689.2	16.6	1185.36
16.5	14504.2	16.6	15689.6	17.6	1184.94
17.5	14504.4	17.6	15689.2	18.6	1184.79
18.5	14504.3	18.6	15689.1	19.6	1184.96
19.5	14504.2	19.6	15689.2	20.6	1185.29
20.5	14504.2	20.6	15689.5	21.6	1185.14
21.5	14504.2	21.6	15689.3	22.6	1185.16
22.5	14504.2	22.6	15689.3	23.6	1184.97
23.5	14503.9	23.6	15689	24.6	1185.25
24.5	14503.6	24.6	15689	25.6	1185.34
25.5	14503.7	25.6	15689	26.6	1185.38
26.5	14503.4	26.6	15688.9	27.6	1185.27
27.5	14503.9	27.6	15688.9	28.6	1185.23
28.5	14504	28.6	15689.2	29.6	1185.06
29.5	14503.8	29.6	15688.9	30.6	1184.56
30.5	14502.7	30.6	15687.8	31.6	1184.79
31.5	14502.5	31.6	15687.4	32.6	1184.94
32.5	14502.6	32.6	15687.5	33.6	1184.91
33.5	14502.4	33.6	15687.4	34.6	1185.95
34.5	14504	34.6	15689.1	35.6	1184.87
35.5	14504.3	35.6	15689	36.6	1184.83
36.5	14504.3	36.6	15689.1	37.6	1184.65
37.5	14504.3	37.6	15689	38.6	1184.91
38.5	14504.3	38.6	15689.2	39.6	1184.54
39.5	14504.4	39.6	15688.9	40.6	1184.96
40.5	14504.4	40.6	15689.4	41.6	1184.79
41.5	14504.5	41.6	15689.2	42.6	1184.9
42.5	14503.9	42.6	15689.1	43.6	1184.83
43.5	14503.9	43.6	15688.8	44.6	1184.93
44.5	14503.7	44.6	15688.7	45.6	1185.39
45.5	14503.7	45.6	15689.1	46.6	1185.11
46.5	14503.7	46.6	15688.8	47.6	1184.81
47.5	14503.7	47.6	15688.5	48.6	1185.13
48.5	14503.8	48.6	15688.9	49.6	1185.01
49.5	14503.9	49.6	15688.9	50.6	1184.74
50.5	14503.9	50.6	15688.6	51.6	1184.62
51.5	14503.9	51.6	15688.5	52.6	1184.84
52.5	14503.7	52.6	15688.7	53.6	1184.94
53.5	14503.4	53.6	15688.5	54.6	1184.99
54.5	14503.7	54.6	15688.5	55.6	1184.76
55.5	14503.8	55.6	15688.5	56.6	1184.73
56.5	14503.4	56.6	15688.4	57.6	1184.87
57.5	14503.6	57.6	15688.4	58.6	1184.88
58.5	14503.7	58.6	15688.5	59.6	1184.75
59.5	14503.7	59.6	15688.4	60.6	1185.07
60.5	14503.6	60.6	15688.7	61.6	1184.91
61.5	14503.6	61.6	15688.5	62.6	1184.89
62.5	14503.7	62.6	15688.5	63.6	1185.12
63.5	14503.4	63.6	15688.6	64.6	1185.29
64.5	14503.5	64.6	15688.7	65.6	1185.12
65.5	14503.7	65.6	15688.7	66.6	1185.06
66.5	14503.3	66.6	15688.6	67.6	1185.24
67.5	14503.5	67.6	15688.7	68.6	1184.87
68.5	14503.4	68.6	15688.3	69.6	1184.77
69.5	14503.5	69.6	15688.2	70.6	1185.01
70.5	14503.5	70.6	15688.5	71.6	1184.93
71.5	14503.2	71.6	15688.3	72.6	1185.37
72.5	14503.4	72.6	15688.7	73.6	1185.22
73.5	14503.3	73.6	15688.6	74.6	1185.27
74.5	14503.5	74.6	15688.6	75.6	1185.05
75.5	14503.5	75.6	15688.5	76.6	1185.06
76.5	14503.5	76.6	15688.6	77.6	1185.1
77.5	14503.4	77.6	15688.5	78.6	1185.22
78.5	14503.4	78.6	15688.6	79.6	1185.17
79.5	14503.5	79.6	15688.6	80.6	1185.11
80.5	14503.3	80.6	15688.5	81.6	1185.19
81.5	14503.1	81.6	15688.4	82.6	1185.09
82.5	14503.6	82.6	15688.4	83.6	1185.17
83.5	14503.4	83.6	15688.7	84.6	1184.91
84.5	14503.6	84.6	15688.4	85.6	1184.85
85.5	14503.2	85.6	15688.2	86.6	1185.27
86.5	14503.4	86.6	15688.6	87.6	1184.96
87.5	14503.4	87.6	15688.4	88.6	1185.1
88.5	14503.3	88.6	15688.4	89.6	1185.21
89.5	14503.3	89.6	15688.5	90.6	1184.97
90.5	14503.2	90.6	15688.3	91.6	1185.12
91.5	14503.1	91.6	15688.3	92.6	1185.29
92.5	14503.2	92.6	15688.4	93.6	1185.08
93.5	14503.3	93.6	15688.4	94.6	1185.12
94.5	14503.2	94.6	15688.4	95.6	1185.12
95.5	14503.2	95.6	15688.3	96.6	1184.99
96.5	14503	96.6	15688.1	97.6	1185.27
97.5	14503.3	97.6	15688.4	98.6	1184.66
98.5	14502.8	98.6	15687.7	99.6	1185.14
99.5	14502.4	99.6	15687.8	100.6	1184.94
100.5	14502.6	100.6	15687.5	101.6	1185.02
101.5	14502.5	101.6	15687.6	102.6	1185.04
102.5	14502.5	102.6	15687.6	103.6	1184.95
103.5	14502.4	103.6	15687.4	104.6	1184.76
104.5	14502.7	104.6	15687.3	105.6	1184.74
105.5	14502.6	105.6	15687.4	106.6	1184.82
106.5	14502.6	106.6	15687.4	107.6	1184.94
107.5	14502.8	107.6	15687.6	108.6	1184.9
108.5	14502.5	108.6	15687.5	109.6	1185.06
109.5	14502.6	109.6	15687.6	110.6	1184.69
110.5	14502.3	110.6	15687.1	111.6	1185.08
111.5	14502.7	111.6	15687.6	112.6	1184.59
112.5	14502.7	112.6	15687.3	113.6	1184.67
113.5	14502.4	113.6	15687.2	114.6	1184.98
114.5	14502.6	114.6	15687.5	115.6	1184.76
115.5	14502.8	115.6	15687.5	116.6	1184.69
116.5	14502.6	116.6	15687.4	117.6	1184.6
117.5	14502.7	117.6	15687.3	118.6	1184.67
118.5	14502.7	118.6	15687.4	119.6	1184.77
119.5	14502.7	119.6	15687.5	120.6	1184.62
120.5	14502.5	120.6	15687.2	121.6	1184.9
121.5	14502.6	121.6	15687.5	122.6	1185.07
122.5	14502.5	122.6	15687.6	123.6	1184.89
123.5	14502.6	123.6	15687.5	124.6	1184.78
124.5	14502.6	124.6	15687.4	125.6	1184.56
125.5	14502.5	125.6	15687.1	126.6	1184.61
126.5	14502.7	126.6	15687.2	127.6	1184.54
127.5	14502.5	127.6	15687.1	128.6	1184.68
128.5	14502.7	128.6	15687.3	129.6	1184.41
129.5	14502.6	129.6	15687	130.6	1183.03
130.5	14506.8	130.6	15687.7	131.6	1187.17
131.5	14526.9	131.6	15704	132.6	1188.03
132.5	14527.7	132.6	15715.3	133.6	1191.17
133.5	14528	133.6	15719	134.6	1194.06
134.5	14528	134.6	15722.1	135.6	1196.79
135.5	14528	135.6	15724.8	136.6	1199.67
136.5	14528.2	136.6	15727.8	137.6	1202.06
137.5	14528.5	137.6	15730.4	138.6	1204.07
138.5	14528.5	138.6	15732.6	139.6	1206.51
139.5	14528.8	139.6	15735.1	140.6	1208.5
140.5	14528.9	140.6	15737.3	141.6	1210.6
141.5	14528.9	141.6	15739.5	142.6	1212.63
142.5	14528.7	142.6	15741.4	143.6	1214.6
143.5	14528.7	143.6	15743.3	144.6	1216.33
144.5	14528.8	144.6	15745.1	145.6	1218.02
145.5	14528.9	145.6	15746.9	146.6	1219.44
146.5	14528.9	146.6	15748.3	147.6	1221.11
147.5	14529	147.6	15750.1	148.6	1222.22
148.5	14529.2	148.6	15751.3	149.6	1223.56
149.5	14529.1	149.6	15752.7	150.6	1225
150.5	14529	150.6	15754	151.6	1226.3
151.5	14529.2	151.6	15755.4	152.6	1227.52
152.5	14528.9	152.6	15756.6	153.6	1228.56
153.5	14528.8	153.6	15757.4	154.6	1229.8
154.5	14529.1	154.6	15758.8	155.6	1230.4
155.5	14529.1	155.6	15759.5	156.6	1231.8
156.5	14528.8	156.6	15760.7	157.6	1232.72
157.5	14528.9	157.6	15761.6	158.6	1233.37
158.5	14528.9	158.6	15762.3	159.6	1234.12
159.5	14528.9	159.6	15763	160.6	1235.05
160.5	14529	160.6	15764	161.6	1235.93
161.5	14528.6	161.6	15764.7	162.6	1236.67
162.5	14528.5	162.6	15765.2	163.6	1237.16
163.5	14528.8	163.6	15765.8	164.6	1237.93
164.5	14528.9	164.6	15766.8	165.6	1238.45
165.5	14528.8	165.6	15767.3	166.6	1239.01
166.5	14528.8	166.6	15767.9	167.6	1239.48
167.5	14528.9	167.6	15768.3	168.6	1240.01
168.5	14529	168.6	15769	169.6	1240.57
169.5	14528.9	169.6	15769.5	170.6	1240.84
170.5	14529	170.6	15769.8	171.6	1241.5
171.5	14528.9	171.6	15770.5	172.6	1241.93
172.5	14528.8	172.6	15770.8	173.6	1242.19
173.5	14529.2	173.6	15771.2	174.6	1242.41
174.5	14529	174.6	15771.5	175.6	1243.28
175.5	14528.8	175.6	15772.2	176.6	1243.5
176.5	14529.1	176.6	15772.4	177.6	1243.76
177.5	14528.8	177.6	15772.7	178.6	1244.12
178.5	14528.9	178.6	15773	179.6	1244.41
179.5	14529	179.6	15773.3	180.6	1244.61
180.5	14529	180.6	15773.6	181.6	1245.38
181.5	14528.8	181.6	15774.3	182.6	1245.76
182.5	14528.9	182.6	15774.6	183.6	1245.88
183.5	14528.9	183.6	15774.8	184.6	1246.17
184.5	14529	184.6	15775.1	185.6	1246.31
185.5	14529.1	185.6	15775.3	186.6	1246.72
186.5	14529.1	186.6	15775.8	187.6	1246.84
