Time1	Simulation1
0	0.118749
1	0.0168653
2	0.436216
3	0.830708
4	0.813741
5	-0.186152
6	-0.357351
7	0.646448
8	0.118981
9	-0.549575
10	-0.00713592
11	0.111363
12	0.350217
13	-0.140001
14	-0.633122
15	-0.335679
16	0.00538495
17	-0.0137091
18	-0.0576566
19	0.0550255
20	0.060855
21	0.64255
22	0.900603
23	0.329929
24	1.18037
25	0.254855
26	1.10315
27	1.04353
28	0.680928
29	0.260342
30	1.40879
31	0.712967
32	1.68254
33	0.755064
34	0.931888
35	0.697673
36	0.431317
37	1.08255
38	0.821239
39	0.341816
40	0.601908
41	0.980117
42	1.01014
43	0.576269
44	0.462007
45	1.01107
46	1.58111
47	0.380992
48	0.393052
49	0.891125
50	1.43694
51	1.24298
52	1.57153
53	0.516592
54	0.998198
55	0.695373
56	0.353579
57	0.504262
58	1.44475
59	0.772677
60	0.860192
61	1.772
62	1.10443
63	1.15368
64	0.828369
65	1.4639
66	1.08484
67	0.970673
68	0.940776
69	1.65812
70	1.37367
71	1.4029
72	0.965519
73	1.91856
74	1.57196
75	1.50506
76	1.47911
77	1.85304
78	0.799906
79	1.90992
80	1.38913
81	1.65712
82	1.5087
83	1.50896
84	1.61482
85	1.68401
86	1.05235
87	1.2152
88	1.50566
89	1.57242
90	2.57107
91	2.15106
92	1.53424
93	1.39279
94	2.31858
95	1.51108
96	1.78839
97	1.73885
98	1.31886
99	1.58875
100	1.03207
101	1.67164
102	2.2718
103	2.07342
104	2.05741
105	1.59046
106	2.04574
107	1.59334
108	1.71078
109	2.10986
110	2.2273
111	2.24239
112	2.41469
113	1.98547
114	1.87683
115	1.78952
116	1.71331
117	2.22555
118	2.00477
119	1.51401
120	2.11075
121	2.41856
122	1.91079
123	1.69916
124	2.06728
125	2.0799
126	2.17572
127	2.0915
128	2.36088
129	2.92013
130	2.37039
131	1.89685
132	2.15747
133	2.42534
134	2.2223
135	1.5725
136	2.16102
137	2.24059
138	2.16834
139	2.8576
140	2.6549
141	2.11687
142	2.2294
143	2.24804
144	2.81364
145	2.15437
146	1.87661
147	2.65744
148	1.98158
149	2.61428
150	2.08231
151	3.06035
152	2.76463
153	1.77347
154	3.00183
155	2.08399
156	2.40872
157	2.84388
158	2.28673
159	2.68977
160	2.8066
161	2.47467
162	2.95678
163	3.2286
164	1.92707
165	2.82008
166	2.23939
167	2.34418
168	2.38547
169	2.86888
170	3.25484
171	3.2674
172	2.37336
173	3.21063
174	2.37023
175	2.80476
176	2.77946
177	3.23758
178	2.68691
179	1.89623
180	2.7692
181	3.421
